num,review,po/na
134,제일 큰 문제점은 씹 ㅈ 망한 최적화 부분이다  본인 PC i7-8700 RTX3070 RAM 32g SSD에 설치 등 나름 게임을 위한 최적의 환경이 갖추어졌음에도 불구하고 6000명 넘어갈 때쯤해서부터 뚝뚝 끊긴다  그렇다고 그래픽카드에 부하가 걸리는 것도 아니라 그냥 최적화가 씹망이라 이런것에 예민한 사람은 그냥 게임을 끄고 싶어질 정도로 심함 ,0
135,동물들이 많아지면서 나오는 말이지만 동물 고유 모션 돌려막기가 존나 심하다 ,0
143,아직 평가판이라 없는 기능들이 많습니다 ,0
146,내가 지금 먼겜을 한거지?,0
147,분명 자원관리 운송겜을 했는거같은데 머하나 제대로 된게 없네?,0
151,어렵다 너무,0
154,주간 할인에 파티하드 소유자 30% 할인쿠폰까지 더해서 샀는데도 돈이 아깝다,0
155,번들로 나올때까지 기다리는 걸 추천,0
156,기존의 파티하드 에셋을 재활용하려고 만든 게임같다,0
157,설명이 부족해서 메커니즘을 알기가 힘들고 운도 필요하다,0
158,타이쿤 게임이라기보다는 트라이얼 앤 에러 로그라이크 게임에 더 가깝다,0
159,파티하드에 대한 각별한 애정이 없다면 사지마라 ,0
160,이겜 재밌긴 한데 뭔가 부족한 느낌    이게임 출시한지가 꽤 된걸로 아는데 차라리 후속작을 내놓던지  ,0
161,무료배포가 시작되면 핵쟁이의 세상이 시작될것이다,0
162,정말 좋아했던 게임이였던 배그를 위해서 적습니다,0
163,404시간 플레이어한 유저입니다 핵을 잡는다고 하나 경쟁전에서 이미 핵쟁이에게 죽은 사람은 점수가 까이고 보상도 없는데 신규 유저 유입을 위해 공짜로 무료 배포를 하다니 너무 감동이에요 ,0
167,재미가 없어요,0
168,사람이 없다  환불해보리겠습니다,0
169,사람이 없어요 ,0
170,사람이 있어야 뭘 하든말든 하지     ,0
201,뇌가아픈,0
202,재미없어요,0
203,발적화 쓰레기같음,0
204,좆적화,0
205,좆나재미없음,0
206,핵쟁이나잡아라제발,0
207,핵 잡을 생각이 없음,0
208,중국인만 아니면 좋은 게임,0
209,서버가 유리서버임,0
217,멍청이들이 많아서 못하겠음,0
227,게임 자체는 다른 다리 만들기 게임과 별 다른것 없음,0
229,빠른 손절을 위해 4스테이지 포탈에 맞지않는 차량을 준비해주는군요,0
230,버그인지는 모르겠지만 통과가 되지 않네요요,0
231,빠른 손절 인정합니다 ,0
235,포탈 좋아하시는 분께는 조금 비추천,0
237,멀티 정식으로만 나오면 다시 살게요,0
239,41 멀티 될때까지 숨참는다,0
250,어쌔신 크리드 시리즈의 암이다,0
251,게임하다가 암이 걸렸습니다 감사합니다,0
252,에휴,0
255,커리어 모드 싱글 위주로 하는 입장에선 게임 산걸 후회함,0
258,재미는 있는데 하다 보면 재미가 없어진다 이거 ㄹㅇ,0
259,씹노잼,0
260,개인적으로 갓겜이라고 생각하는데 질린다는게 단점,0
261,나혼자 죽을수는 없다 ,0
263,이놈의 서버렉은 어쩔수없네,0
274,많이 접겠네요   ,0
275,하지만 뉴비 입장에서는 너무 복잡해져서 빡침,0
276,아잇 씻팔 존나 어려워졌네 ,0
277,버그 래전드,0
281,차가 자주 빠질수 있고 시원시원함을 좋아하는 사람은 죽을수 있음 ,0
283,아   피곤하다 ,0
284,중도 포기함  더이상 못해먹겠다   ㅋㅋ,0
289,아직도 저장 안됨 ㅆㅂ,0
290,불필요한 요소들이 너무 많이 보인다,0
291,최고의 똥겜,0
292,자유도가 높다해도 최악의 조작감과 인터페이스덕분에 즐기진 못하겠다,0
303,대한민국 건축법보다 더 규제 많음 정수기랑 덫 있으면 사실상 생존왕,0
306,드럽게 어렵기만하고 비싸네요 이거할빠엔 차라리 나츠키의 감금생활을 하겠어요,0
307,애매하다,0
311,아예 배경음이 없다고 해도 무방할 정도로 음악이 없다  게임에 집중을 하고 정말로 인디언이 됬다고 생각을 하면 좋지만 트레일러에서 있는 것을 보고 들어오는 사람들은 음악이 없는것을 절대로 반가워 하지 않을것이다 ,0
312,아직까지는 잘 해보지 않아서 모르지만 초기여서 그런지 프레임이 떨어지는 때가 많다 ,0
313,npc들은 말을 하지도 않고 말을 할 수 있는 npc는 소수이다  이 마저도 시간이 지나면 쓸모가 없어진다  게임이 루즈 해진다  좀 더 다양한 말을 할 수 있게 했으면 좋겠고 진영을 더 만들지 않아도 괜찮지만 개척자들의 편에 서서 원주민들을 정복하게 하거나 어느 쪽에도 들어가지 않고 독자적인 진영을 만들 수 있었으면 좋겠다 ,0
314, 아직 한국어로 되어 있지 않아서 의미를 항상 사전을 찾으며 게임을 하는 중이지만 역시 모국어가 아니여서 단어를 찾아도 어려운 부분은 존재한다  그런 부분을 보완했으면 좋겠다 ,0
316,트레일러에 있던 브금 어딨냐 겜 들어가니까 브금이 없다,0
318,어떻게 해야할지 몰라서 껐다  ,0
319,심심하면 스카이림 브금 트셈,0
320,얼리억세스 게임을 감안하고 게임을 해야한다 ,0
321,최신게임들에 화려한 그래픽이나 사운드 모션을 기대하지마라 ,0
329,시방 전편이랑 다른게 뭔지 모르겠다  뻥이 아니고 진짜 전편과 다른게 없다 ,0
334,400번정도죽으세요 ,0
346,운빨 ㅈ망겜,0
357,매우 실망,0
358,그냥 실망스럽다,0
360,글 작가 돈 아낄라고 개발자가 썻음?,0
361,그동안의 애정 때문에 걍 하긴 한다만;;,0
363,노잼,0
364,니나해,0
365,돈주고 사기 아깝다,0
367,리메이크된 버그고친 개좆망겜,0
376,지금은 레포데 2에 묻여버린 추억의 게임,0
378,오프닝 영상으로 나온 그게 다임 ,0
384,목적성을 잃어버림   ,0
385,옛날에 엄마 등짝 스매시 맞아가면서 공부하면서 영상찍고 돈벌어서 룸메 고용하고 부려먹고 이러던 재미가 없음,0
387,개발자님들아 전작 유튜브 라이프1 을 어떻게 보셨으면 갓겜에서 똥겜으로 변할 수가 있나요?,0
388,극 초반에 아 노잼ㅋㅋ했다가 이 고비만 넘기면 할만해짐  그리고 겨울 올 때쯤 다시 지루해짐 ,0
396,꽤나 많은 버그와 아직 미비한 번역상태가 유저들을 지속적으로 괴롭힐 것이며,0
397,여기에 엔딩 내용까지 잘 버무리면 희귀의 망겜이 따로 없을테니 되도록 많은 사람들이 꼭 해보길 바란다 ,0
399,언어장벽이있다,0
409,비매너 유저가 좀 많음 처음에 적응 못하면 라딸용 게임이 될 가능성이 높음 괜시리 비싸면서 효용성 별로 없는 DLC들 고난이도로 갈수록 초보유저는 하기가 힘듬 ,0
416,이거 하고 지인들이랑 손절했습니다  충 격 실 화 ,0
417,ㅋㅋ 친한 사람들이랑 해보세요 이거하고 현실에서 만날뻔 했습니다  ㅣ발,0
419,38퍼의 세일에 이끌려 게임을 샀다 그러나 게임을 할 수가 없다          ㅠ ㅠ,0
425,한글화 미지원,0
428,지장이 있네? 3시간동안 한거 세이브 날라갔읍니다  ,0
430,이번 패치 이후로 그냥 조옷나 튕김,0
434,멀미는 심하니 멀미약을 챙기세요,0
437,날 분노하게만들어,0
438,알릭스는 무난하게 다 깻는데 이건 정말 멀미 때문에 못하겠다   ,0
442,내 손가락에 자신이 있다 = 어려움,0
452,근데 좀 비싼것같네  ㅎㅎ  쿡드 is 뭔들   ,0
457,솔직히 재미는있는데 가격도 비싸고 렉도 많이 걸림,0
458,아직은 게임이라고 할 수준도 되지 못하는 듯 함,0
459,세일해서 샀는데 게임을 도저히 진행할 수가 없어서 환불을 받음 ,0
460,추후에 더 패치가 있어야 하겠지만,0
469,게임 실행을 했는데 로딩후 까만화면에서 안넘어감    버그인지뭔지  ,0
470,그리고 가급적이면 인터페이스라도 한글 추가해줫으면  ,0
471,존나 무섭네 시팔,0
472,첫 플레이 이후 다소 부정적인 코멘트를 추가합니다  위 평가와 아래 영상의 플레이를 하고 난 후 약 1주일 만에 다시 손 댔는데 오기가 생기는 재미는 분명히 있지만 타격과 피격 피드백이 명확하지 않고 차지 액션이 강제되는 게 엄청 스트레스로 느껴지더라고요 ,0
478,추천하지 않는다 ,0
479,?개발자가 편하게 플레이어의 도전 의식을 불러일으켜 보겠다는 것이 느껴진다 ,0
480,미묘함   뭔가 합리적으로 피하고 합리적으로 때린다는 느낌이 없음 그냥 어떤 보스를 만나도 딜로 찍어누르기 위한 컨트롤만 하는 기분,0
481,튜터리얼은 한글화가 어느정도 직역이 섞여있고 튜터리얼의 UI직관성이 아직 떨어지는 편이라 완료하는데 어려움이 있을수 있습니다 ,0
483,아무리 소리를 안내도 ㅈ같은 구축함들은 핵을 써서라도 찾는다 씨발,0
484,십새키들아 동해를 일본해로 표기해서 환불할게 개새키들아,0
485,사운드버그극혐,0
494,게임 볼륨에 비해선 좀 비싼감이 없지 않다,0
498,똥겜은 아닌데 똥같음,0
17,이것도 게임이라도 파는 거냐,0
23,왜 하는지 모르겠다,0
24,판정 쓰레기,0
26,노잼,0
27,씹노잼,0
28,돈아깝다,0
30,존나어렵댜ㅏ,0
31,개어려움,0
34,서버가 씹구려서 개빡친다,0
37,그래도 환불받아서 다행임,0
45,최악의 게임,0
46,최악이다,0
48,와 이걸 어케함?ㅅㅂ조나어려워서 접음,0
53,노잼임 ,0
54,일단 속도조절이 없어서 개빡치고 판정이 구데기임 진짜 캐뽕겜 ㅅㄱ,0
55,진짜 캐릭얼굴에 잡혀서하는거지 ㅆㅂ,0
56,우리 최애가 게임에 갇혔엉ㅅ,0
58,캐릭대사에 캐붕이 난다,0
59,스작죽어라,0
61,로블록스에 이거 따라 만든거 있어요 개발자님 제가 신고했는데 구글에서 답을않줘서 리뷰로 쓸게요 ,0
64,병신겜,0
65,진심 쓰레기 게임,0
66,이걸 만들고도 돈을 벌다니,0
67,원수에게 추천할 게임,0
69,구캐도 안 챙겨주면서 신캐만 내면 될 거라고 생각하는 병신 운영 그만둬          신캐의 푸쉬 정말 말도 되지 않는www ,0
71,3챕터까지 재밌었는데 그다음부터는 보석안사면 진행이 안되는 수준임 대사 다섯번마다 광고 나오고    원작 캐릭터들 뜯어와서 장사하시고 겜 퀄도 기대이하인데    캐릭터에 잡혀서 보석 몇번 지르긴 했는데 이걸 언제까지 할까ㅋㅋ ,0
74,괜히 샀음,0
76,그냥 레전드게임 삭제는 지능순이다 잘있어라 얘들아 나는 한 오만등정도 되나싶다 ,0
81,여러모로 가지가지하는 게임,0
82,개빡치게하지마,0
85,시간이 썩어날때도 안할 게임,0
87,씨발아,0
88,욕만 나온다,0
98,한 시간하고 환불받음 개재미없음,0
117,창작마당이 안돼서 한글패치도 안돼고 좀 이상하네요    다른친구들은 다 되던데 ,0
118,제발 좀 서버렉좀 고쳐주세요  ㅣ발 무슨 방 하나 파는데 5분이나 걸려요 ?,0
134,유저가 우습냐,0
135,씨발진짜적당히해야지 유저가우습냐,0
136,하지 마세요 제발 무슨 이벤트를 하나 DLC가 나오나 계속 우려먹기로 쓰고 있음,0
137,컨텐츠도 다 노가다 할거는 레이드랑 pvp 말고 없음,0
138,dlc 절대 사지 마셈 어차피 금고행임,0
140,제발 하지마 ,0
143,가울 울드렌 케이드 사기라 슬론 애셔미르 아나브레드 거미 그외 많은 NPC들과 적들    추억으로 남겨야 갰네요,0
144,그리고 전 이제 무료게임을 돈주고산 흑우가 되었습니다 ,0
146,즐거웠습니다 ,0
147,이거 왜함,0
148,이게 재밌냐 진지하게 묻고싶다,0
150,향긋한 똥겜,0
151,우리 형 시키고싶은게임 ,0
154,서버 증설 안하냐고 엄마없는 씨발년들아 병신씨발,0
155,서버 쓰레기,0
157,총기 밸런스가   ,0
158,이 게임은 DLC도 망하고 DLC없인 노랑색 등급 힘들게 얻을 수 밖에 없는 게임,0
159,유저를 돈뽑는 ATM기 인줄아는 번지가 병신같이 운영하는 게임,0
160,세상에 돈주고산 DLC를 회사사정으로 삭제시켜버리는 정신나간운영,0
161,아직도 하고있다면 본인이 흑우인지 아닌지 진지하고 되돌아보시는걸 추천,0
162,이 ㅈ같은 퍽 망겜 게임,0
164,갓겜 이었으나   창렬적이고 별거없는 Dlc 통해 매니아층만하는 파밍겜이 되어가버리는듯하다 ,0
165,새도우킵하고 경악을 금치 못했다 ,0
166,정 할거면 할인하면 사세요 ,0
171,어디 가서 뭘 하라 그래서 가면 뭔 공개이벤트만 자꾸 나오고 찾는건 없음 어쩌라는거야,0
172,씨발진짜욕만나옴,0
173,똥겜 안함 ,0
174,업데이트 하라면서 게임 실행이 안됨 ,0
175,사이트 들어가서 에러코드 확인함 ,0
176,조치따라해도 안됨 ,0
177,문의함 ,0
178,문의해도 딴소리만하고 해결이 안됨 ,0
179,그걸 몇번 반복함 ,0
180,해결이 안됨 ,0
181,이렇게까지 하고 시간들이면서 해야하는 게임인가 회의감 듬 ,0
182,삭-제,0
184,하지마세요,0
189,우와  ,0
191,무료로도 할 수 있긴 하지만   즐길 수 있는 부분이 매우 한정적임  나 같은 라이트 유저에게는 큰 부담이 느껴질만한 가격대 ,0
192,퀄에 비해 비쌈,0
193,난이도가 있는 상위 컨텐츠는 같이 하는 지인이 있어야 함 ,0
194,고이고 고여버린 내 친구는 혼자서도 간단하게 깨지만,0
207,여러 각국의 또라이를 볼 수 있다 ,0
212,플탐이 안늘어나네   ,0
213,키기 쉽지 않아,0
222,멀티 플레이 정식 추가좀 ,0
225,아직도 같이 할 사람이 없습니다 ,0
226,예전에 사놓고 30시간 플레이하다 현타와서 안하던게임,0
237,서버 개쓰레기임,0
238,서버를 도대체 언제 고치는거냐?,0
240,에휴 이걸 하는 내 시간이 아깝다,0
241,노잼,0
242,재미없어,0
243,재미없음,0
244,씹 노잼임,0
245,개씹똥망겜,0
248,병신스레기 A20,0
249,병신같은 게임,0
250,쓰레기다 ,0
251,한줄요약  하지마라,0
255,근데 나온지 8년이 지났는데 언제까지 알파버전이야  ,0
261,같이할친구가 없음,0
263,기분 나쁜 요소가 많다,0
266,그나저나 나도 같이할 친구좀 주라              응?,0
268,ㅄ같음,0
270,완벽한 게임이 있다면    이 게임은 아닙니다 ,0
271,개적화 버그겜,0
272,최적화가 안됨,0
273,개적화를 도대체 언제하는 거임?,0
274,씨발개쓰레기게임,0
275,씹스레기게임,0
276,우리 가족의 원수에게 추천합니다,0
277,비추,0
280,존나 노잼,0
283,개씨발노잼,0
284,씹새들아 이걸 게임이라고 만드냐,0
285,정발이 안됨,0
287,초반에 더럽게 어렵고 많이 죽지만 후반에 가면 더럽게 어렵고 많이 죽는다 ,0
288,무슨 소리냐고? 더럽게 어렵고 많이 죽는다,0
290,나중에는 재밌어질지 모르겠지만 지금 생각해보면 괜히샀다,0
291,발적화 븅신겜 친구랑 안할거면 구매 비추,0
292,발적화 레전드,0
293,생각만해도 개짜증난다,0
1,좋은 포션 위대한 포션,1
3,제작과 판매 자체만으로 재밌게 할 수 있다면 추천한다 ,1
5,응애 나 애기 포션상인,1
6,마우스 나노 컨트롤 가능해짐,1
7,재밌음,1
8,친구랑 해야 재밌다,1
12,혼자해도 할만함 재밌음,1
13,잘 만들어진 게임,1
14,업뎃좀 더 해주세요 아 게임 노잼이네 컨텐츠가 부족하네,1
20,더이상 컨텐츠가 없지만 현자의 돌 만들기는 귀찮다,1
21,스토리라인하고 추가정원과 광산 금지된연금술 같은거도 추가되면 더좋을듯,1
22,확실한건 절대 돈아까운 게임은 아님,1
24,즐길 줄 아는 친구들과 함께 하면 더 재밌는 게임,1
25,마음맞는 친구들이랑 하면 꿀잼,1
26,게임은 재밋는데 같이할 친구가 없음,1
27,한국어 업데이트할때까지 숨참는다,1
28,이런 게임은 구매 버튼 누르면 '같이 할 친구가 없다면 구매하지 마세요' 같은 알림창 떠야함,1
30,재밌어요 한글패치가 있으면 정말 많은 사람들이 했을텐데 아쉽네요,1
31,게임 너무 재밌습니다  근데 유저 안만나는 모드 만들어 주시면 안될까요? 예쁜바다 보면서 재밌는 탐험 하고 있는데 유저새끼가 와서 시비걸면 기분 정말 뭐 같아져요 ,1
32,내가 해군을 다녀온건   이 게임을 하기 위해서다    ,1
33,저는 정말 재밌는데 같이 할 사람이 없어요    ,1
35,같이 하실 분 있나요   ㅠㅠㅠ,1
37,같이하면 갓겜,1
38,친구가 있다면 재밌습니다  혼자 하다보면 조금 슬퍼져요 ,1
41,사람이 얼마나 행복해질수있고 슬퍼질수있는지를 알수있는 낭만 넘치는 게임,1
42,다른배 보는순간 동맹이고 나발이고 저 배가 나를 쏠지 내가먼저 저 배를 쏠지 고민하게되는,1
55,그타온라인 들가면 패드립+욕설 잼민이들과 오프학살 핵찔이의 무한킬+바탕화면으로 크래쉬 등등이 나를 반겨주지만 이젠 그것조차 즐기는 상태가 되었다  이것이 해탈인가   ,1
56,재밌긴 한데 착짱죽짱이 뭔지 몸소 보여주는 게임 핵 안 쓰면 호~구 등`신 취급 받는 이 게임 정말 재밌다~ 해보실?,1
78,개인적으로 퍼즐 게임을 좋아하는데,1
79,외관상은 좀 비위상할수 있는분도 계실테지만,1
80,재미있게 했습니다 ,1
82,하지만 가격이 모든걸 용서해주네요 ,1
86,ㅆㅅㅌㅊ 추억겜,1
87,처음부터 스팀이였으면 1만 시간은 넘겼을 게임,1
88,과거의 추억의 게임  여기 서버를 다시 한번 만들어 보고 싶다  다만 예전의 영광처럼 한국인들은 없을듯  ,1
89,게임자체는 재미있게 즐기고있으며,1
90,생각없이 시간 순삭할 수 있는 타임머신겜,1
91,시간 때우기 딱 좋은게임입니다,1
95,귀여운 게임 업그레이드 버전,1
96,그냥 아무 생각 없이 즐기기 좋은 게임인 것 같다 ,1
98,탑다운슈터 게임에 갖춰야 할 건 다 있는 게임 ,1
99,가성비 갓갓겜,1
110,인생 게임이다 이건,1
111,언인스톨 시뮬레이터로써는 정말 훌륭한 작품이다,1
117,크리스마스 시즌이 다가왔습니다  간편하게 게임을 즐길수 있고 마우스 클릭으로 집중력도 쌓을수 있는 재미있는 게임 입니다 ,1
118,크리스마스 시즌에 마춰서 출시된 크리스마스 슬롯 머신      게임 언제 어디서나 코인소리가 들리고 간식과 사탕 음료수 과자 다양하게 준비를 하여서 즐거운 게임을 해볼수 있는 슬롯 머신 게임 입니다 ,1
119,멀리 호텔이나 게임장에 않가고 집에서 클릭과 따뜻하게 게임을 즐길수 있구요  레벨도 올라가면 갈수록 어워드 보상도 받고 용돈이 엄청하게 올라갑니다        ,1
120,다른거 다 가지고있으니까 꾸러미로 사니 개이득이넹,1
121,한글패치좀,1
122,한글화 부탁요,1
123,도전과제는 58% 정도 달성했는데 한 번도 죽지 않고 게임을 클리어해야 하거나 게임을 2시간 30분 안에 클리어해야 하는 등의 까다로운 도전과제들이 있어 한 번의 클리어만으로 모든 도전과제를 달성하기는 무리인 게임입니다 ,1
125,기냥저냥 할만함 딱 평타잼,1
126,플레이타임 4시간이니까 75% 할때 사는게 답,1
127,같이 플레이 했었던 ,1
128,오래도록 기억에 남을 게임 ,1
129,그래픽이 매우 좋은 편,1
130,꾸미기 등에 있어 자유도가 매우 높은 편,1
136,꾸준한 업뎃으로 점점 갓겜이 되어가고 있음    ,1
137,진입장벽이 높아서 강의는 듣고 와야함 샌드박스로 즐겨야 정신건강에 좋고 익숙해지면 개꿀잼임,1
138,그거 빼고는 동물간 상호작용 모션도 좋고 그래픽도 좋아서 괜찮음,1
139,곧 100시간이 채워질 게임입니다,1
140,가끔 하는데 관리는 좀 많이 어렵고 뭐 괜찮아요 근데 수명이나 싸우거나 그런거는 좀 힘드네요 온도하고 습도도 맞추어야 되는 그래도 재미있습니다,1
141,개발 버전 부터 쭉 해왔는데 깊이 있고 정말 재미있습니다,1
142,Ps 팬심으로 번역 열심히 했으니 재밌게 해주세요,1
144,어우 정신못차리고 플레이했네,1
145,아래 몇몇 단점만 빼고는 다 좋았어요,1
148,진짜 재밌다,1
149,재밌음 Open TTD 하던분들이면 만족할듯합니다,1
150,게임이 생각보다 재밌네요  우주스테이션에서 고객들한테 서비스를 제공하는 게임인데 돈이 쌓이는 즐거움도 있고 연구를 통해 업글하는 재미도 있고 손은 좀 가지만 저는 재밌었습니다 ,1
152,킬딸치려는 분들 전작하고 장르다 다르다고,1
153,장르 확인전에 짖어대는 열폭하는 분들은 그냥 다른 게임을 사세요 ,1
164,재미있다,1
165,사람이 없긴한대 배그 치킨 못먹으면 이걸로 드세요,1
166,배틀로얄장르 좋아하시면 좋아할듯,1
171,좋다,1
172,수많은 게이머들이 인정하는,1
173,최고의 게임 중 하나,1
174,여전히 모드들도 나오고 있고,1
175,이 게임을 안해본거는 그동안 살아온 게임인생 손해본것,1
176,새벽인 밤에 하는? 21 by polo g 듣는 게임하는 동안에? 정말 좋은  칭찬을 아낄수 없는,1
177,은근 재밌음 ㅇㅇ,1
178,머리쓰는 게임 좋아하면 추천,1
179,열루 갔따 절루 갔따 재밌어용 헤헤헤 현실에사도 ㅓ헤ㅐ보고 싶어용,1
180,선물받았어용 재밌어요 근데 멀티 같이할 사람이 없음,1
181,괜히 명작이 아니다,1
182,이거 진짜 명작임,1
183,처음엔 포탈1보다 쉽고 벌써 끝나가나? 했는데,1
184,생각보다 볼륨이 크고 기발하다,1
185,어떻게 이런 게임을 생각해내는지 궁금하다,1
186,진짜 이건 명작이다,1
187,멀미는 나는데 깨고는 싶어서 꾹참고 함 재밌었음,1
188,몇년이 지났어도 이 게임을 이길만한 좀비 게임은 없다,1
189,인생게임 내 20대 청춘을 이 게임과 함께 했다 ,1
190,레포데 꿀잼,1
191,간단하게 하나씩 캐는거 야무지다잇 ㅎㅎ,1
192,넘나 재밋음  ,1
193,추억돋는 게임이다 명작  ,1
194,가격대에 비해서 매우 재미있고 퀄도 나쁘지 않아요 강추,1
195,친구랑 같이하면 재밌는 게임 +혼자하면 재미 없음,1
196,아직까지도 재미있는 명작,1
197,몇시간만에 깬사람들 다 컨닝한거임 ㄹㅇ임 내가봄,1
198,이 게임은 피지컬 게임입니다 ,1
199,몸이 좋으면 머리가 나빠도 된다 ,1
200,과거에서 가져와 미래로 이끌어 온 포탈에 대한 완벽에 가까운 재해석 ,1
210,창작마당 유즈맵들이 은근 잘 만들어서 본편이 짧은것도 아쉽지가 않다   ,1
211,방탈출 좋아 하시면 추천 드립니다 ,1
212,버그가 많음에도 불구하고 추천,1
213,아주 작은 공간에서 혼자 또는 2인이서 방탈출 하는게임  재미있다 압도적긍정적 평가 받을만하다 ,1
214,라운드 깰때마다 깔끔한 본인캐릭터들이 트월킹춤을 냅다 갈겨버린;;,1
215,이 게임을 하고 인생이 달라졌습니다 감사합니다,1
216,어느정도 능지가 필요하고 코인찾기에 혈안이되어서 무슨 비트코인 단타치는것마냥 ㅈㄴ찾음,1
218,멀티5인까지 가눙,1
219,재미는 있는데 한국어 번역이 매우 아쉽습니다    Second Third를 어떻게 세번쨰 두번째로 번역을 합니까  ㅠ,1
220,잘만들고 재밌긴 한데 자주하게되진 않음,1
221,오피셜 방은 짧지만 창작마당에서 가져올 수 있어서 플레이타임이 아주 짧진않은편 ,1
222,친구랑 하기 좋음  인원이 많아도 할 수 있긴한데 두명이 베스트인듯 ,1
223,그래픽 자체가 귀여워서 할맛난다 ~ ,1
224,창작마당에서 구독하고 하면 더 잼씀,1
225,갓ㅡ겜,1
226,친구랑 같이하면 더 재밌다,1
228,잘 섞인 게임이나 취향을 좀 탈듯 ,1
232,머리가 빠개질 것 같습니다 ,1
233,폴리브릿지 재밌게 하셨으면 이것도 재밌을 거 같아요 ,1
234,폴리브릿지 좋아하는 분께는 추천,1
236,둘 다 좋아하면 매우 추천,1
238,독특한 3인칭 탑 뷰형식의 좀비아포칼립스류 생존게임,1
240,님들 어제 41빌드 멀티 정식으로 나왔으니까 빨리 사세요 빨리,1
241,결론만 먼저 말씀 드리자면 강추입니다,1
242,오픈 월드 서바이벌 게임 중 이만한 게임이 없습니다,1
243,특히 같이하실 분이 있다면 더더욱 그 재미는 올라갑니다,1
244,그래픽이 호불호가 많이 갈리고 초반 진입장벽도 높아서,1
245,상점에서 둘러보다가 패스하시는 분들이 많은데,1
246,이것만 넘으시면 진짜 완전 재밌어요,1
247,멀티도 재미있어요,1
248,ㅈ같은 게임이지만 정말 재미있읍니다 ,1
249,게임이 스토리 다 밀면 할게 없어서 지나가는 애들 보일때마다 죽이는게 전부   신뢰의 도약 하러가는데 너무 느려터졌고 뛰어가다가 갑자기 벽을 타러가고   음   재미는 있었음,1
253,뉴비들에게 좀 불친절하지만   갓겜 인정 ,1
254,어크 입문용 겜으로는 좋습니다,1
256,피파는 할인 자주하니까 저처럼 예약구매해서 흑우마냥 EA한테 풀프라이스 갖다바치시지 마시고 할인할때 사세용~,1
257,그리고 절대 피파포인트는 사지마십쇼   한번 현질하면 끝도모르고 하게됨   ,1
